"Codigo";"Municipio";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"120001";"Acrelândia";12769;13081;13327;13579;13821;14069;14318;14551;14781;15020;15256;15490;15721
"120005";"Assis Brasil";6180;6335;6457;6583;6703;6826;6951;7067;7181;7300;7417;7534;7649
"120010";"Brasiléia";21758;22325;22771;23231;23670;24120;24574;24996;25414;25848;26278;26702;27123
"120013";"Bujari";8633;8838;8999;9165;9324;9486;9650;9803;9954;10111;10266;10420;10572
"120017";"Capixaba";8812;9179;9468;9764;10048;10339;10632;10905;11175;11456;11733;12008;12280
"120020";"Cruzeiro do Sul";80978;81907;82638;83389;84109;84845;85587;86279;86963;87673;88376;89072;89760
"120025";"Epitaciolândia";15373;15754;16054;16363;16658;16960;17265;17550;17830;18122;18411;18696;18979
"120030";"Feijó";33678;33816;33925;34037;34144;34254;34364;34467;34569;34675;34780;34884;34986
"120032";"Jordão";6653;6862;7026;7195;7357;7523;7690;7845;7999;8159;8317;8473;8628
"120033";"Mâncio Lima";15417;15864;16216;16577;16924;17277;17635;17968;18297;18638;18977;19311;19643
"120034";"Manoel Urbano";8164;8327;8455;8586;8712;8841;8971;9092;9212;9336;9459;9581;9701
"120035";"Marechal Thaumaturgo";14265;14843;15298;15765;16213;16670;17132;17563;17988;18430;18867;19299;19727
"120038";"Plácido de Castro";17695;17954;18158;18368;18569;18774;18982;19175;19366;19565;19761;19955;20147
"120080";"Porto Acre";15096;15524;15861;16207;16538;16877;17219;17538;17853;18180;18504;18824;19141
"120039";"Porto Walter";9227;9573;9845;10125;10393;10667;10944;11201;11456;11720;11982;12241;12497
"120040";"Rio Branco";342445;350589;356998;363589;369899;376348;382864;388932;394924;401155;407319;413418;419452
"120042";"Rodrigues Alves";14450;15012;15455;15910;16345;16791;17241;17660;18074;18504;18930;19351;19767
"120043";"Santa Rosa do Purus";4658;4894;5080;5271;5454;5642;5831;6007;6181;6362;6540;6717;6893
"120050";"Sena Madureira";38790;39676;40373;41090;41777;42478;43187;43847;44499;45177;45848;46511;47168
"120045";"Senador Guiomard";20770;21053;21276;21505;21724;21948;22174;22385;22593;22810;23024;23236;23446
"120060";"Tarauacá";36351;37131;37745;38377;38981;39599;40224;40805;41379;41976;42567;43151;43730
"120070";"Xapuri";16424;16788;17074;17369;17651;17939;18230;18501;18769;19048;19323;19596;19866
